6500|(0, 0, 0, 1000, 0, 0)|3688|(400, 100, 0, 400, 0, 100)|(600, 0, 0, 400, 0, 0)|5002|(0, 0, 0, 1000, 0, 0)|7400
6700|(1000, 0, 0, 0, 0, 0)|3700|(300, 300, 0, 400, 0, 0)|(800, 0, 0, 200, 0, 0)|5001|(0, 0, 0, 1000, 0, 0)|7200
7000|(0, 0, 0, 1000, 0, 0)|3717|(400, 0, 0, 400, 100, 100)|(800, 0, 0, 200, 0, 0)|5001|(0, 0, 0, 1000, 0, 0)|7200
6700|(0, 0, 0, 1000, 0, 0)|3685|(300, 300, 0, 400, 0, 0)|(200, 0, 0, 800, 0, 0)|5001|(0, 0, 0, 1000, 0, 0)|7800
6700|(1000, 0, 0, 0, 0, 0)|3685|(300, 300, 0, 400, 0, 0)|(400, 0, 0, 600, 0, 0)|5000.902597402597|(0, 0, 0, 1000, 0, 0)|7600
7300|(0, 0, 0, 1000, 0, 0)|3689|(400, 0, 0, 500, 0, 100)|(400, 0, 0, 600, 0, 0)|5002.162837162838|(0, 0, 0, 1000, 0, 0)|7600
7000|(0, 0, 0, 1000, 0, 0)|3693|(400, 0, 0, 400, 100, 100)|(500, 0, 0, 500, 0, 0)|5001.928571428572|(0, 0, 0, 1000, 0, 0)|7500
6500|(0, 0, 0, 1000, 0, 0)|3700|(400, 100, 0, 400, 0, 100)|(800, 0, 0, 200, 0, 0)|5001.373126873127|(0, 0, 0, 1000, 0, 0)|7200
6800|(0, 0, 0, 1000, 0, 0)|3683|(400, 100, 0, 500, 0, 0)|(500, 0, 0, 500, 0, 0)|5001.745254745255|(0, 0, 0, 1000, 0, 0)|7500
7300|(0, 0, 0, 1000, 0, 0)|3699|(400, 0, 0, 500, 0, 100)|(400, 0, 0, 600, 0, 0)|5001.811688311688|(0, 0, 0, 1000, 0, 0)|7600
6500|(0, 0, 0, 1000, 0, 0)|3696|(400, 100, 0, 400, 0, 100)|(200, 0, 0, 800, 0, 0)|5001.961038961039|(0, 0, 0, 1000, 0, 0)|7800
6700|(1000, 0, 0, 0, 0, 0)|3700|(300, 300, 0, 400, 0, 0)|(700, 0, 0, 300, 0, 0)|5000.306193806194|(0, 0, 0, 1000, 0, 0)|7300
6700|(1000, 0, 0, 0, 0, 0)|3679|(300, 300, 0, 400, 0, 0)|(700, 0, 0, 300, 0, 0)|5002.273226773227|(0, 0, 0, 1000, 0, 0)|7300
7300|(0, 0, 0, 1000, 0, 0)|3685|(400, 0, 0, 500, 0, 100)|(600, 0, 0, 400, 0, 0)|5003.955044955045|(0, 0, 0, 1000, 0, 0)|7400
6800|(0, 0, 0, 1000, 0, 0)|3674|(400, 100, 0, 500, 0, 0)|(500, 0, 0, 500, 0, 0)|5001.7532467532465|(0, 0, 0, 1000, 0, 0)|7500
6700|(1000, 0, 0, 0, 0, 0)|3707|(300, 300, 0, 400, 0, 0)|(500, 0, 0, 500, 0, 0)|5001.742257742258|(0, 0, 0, 1000, 0, 0)|7500
7000|(0, 0, 0, 1000, 0, 0)|3702|(400, 0, 0, 400, 100, 100)|(200, 0, 0, 800, 0, 0)|5002.847152847153|(0, 0, 0, 1000, 0, 0)|7800
6700|(1000, 0, 0, 0, 0, 0)|3674|(300, 300, 0, 400, 0, 0)|(100, 0, 0, 900, 0, 0)|5002.201798201798|(0, 0, 0, 1000, 0, 0)|7900
6700|(1000, 0, 0, 0, 0, 0)|3699|(300, 300, 0, 400, 0, 0)|(600, 0, 0, 400, 0, 0)|5001.013986013986|(0, 0, 0, 1000, 0, 0)|7400
6700|(1000, 0, 0, 0, 0, 0)|3710|(300, 300, 0, 400, 0, 0)|(900, 0, 0, 100, 0, 0)|5002.248751248751|(0, 0, 0, 100, 0, 900)|7244
6500|(0, 0, 0, 1000, 0, 0)|3676|(400, 100, 0, 400, 0, 100)|(300, 0, 0, 700, 0, 0)|5001.234765234765|(0, 0, 0, 1000, 0, 0)|7700
